Gene name,Accession
GAL2,P13181
GAL3,P13045
GAL4,P04386
GAL7,P08431
GAL80,P04387
GAL83,Q04739
GAP1,P19145
GAR1,P28007
GAS1,P22146
GAS2,Q06135
GAS3,Q03655
GAS4,Q08271
GAS5,Q08193
GAT1,P43574
GAT2,P40209
GAT3,Q07928
GAT4,P40569
GBP2,P25555
GCD10,P41814
GCD11,P32481
GCD14,P46959
GCD1,P09032
GCD2,P12754
GCD6,P32501
GCD7,P32502
GCG1,P32656
GCN1,P33892
GCN20,P43535
GCN2,P15442
GCN3,P14741
GCN4,P03069
GCN5,Q03330
GCR1,P07261
GCR2,Q01722
GCS1,P35197
GCV1,P48015
GCV2,P49095
GCV3,P39726
GCY1,P14065
GDA1,P32621
GDB1,Q06625
GDE1,Q02979
GDH1,P07262
GDH2,P33327
GDH3,P39708
GDI1,P39958
GDS1,P41913
GDT1,P38301
GEA1,P47102
GEA2,P39993
GEF1,P37020
GEM1,P39722
GEP3,Q08622
GEP4,P38812
GEP5,Q12393
GEP7,P53171
GET1,P53192
GET2,P40056
GET3,Q12154
GET4,Q12125
GEX1,P25596
GEX2,P36173
GFA1,P14742
GFD1,Q04839
GFD2,P25370
GGA1,Q06336
GGA2,P38817
GGC1,P38988
GIC1,P38785
GIC2,Q06648
GID7,P25569
GID8,P40208
GIM3,P53900
GIM4,P40005
GIM5,Q04493
GIN4,Q12263
GIP1,P38229
GIP2,P40036
GIP3,Q03016
GIP4,P39732
GIR2,Q03768
GIS1,Q03833
GIS2,P53849
GIS3,Q12418
GIS4,Q04233
GIT1,P25346
GLC3,P32775
